,,,SOC,SEI,Power,T,,delta SEI
125,24346,25426,80,1.67E-08,-0.57895,23,1.6667E-08,-3.3000000039E-11
126,24346,25426,80,1.67E-08,-0.47368,23,1.6667E-08,-3.3000000080E-11
127,24346,25426,80,1.67E-08,-0.36842,23,1.6667E-08,-3.2999999699E-11
128,24346,25426,80,1.67E-08,-0.26316,23,1.6667E-08,-3.3000001081E-11
129,24346,25426,80,1.67E-08,-0.15789,23,1.6667E-08,-3.3000000982E-11
130,24346,25426,80,1.67E-08,-0.052632,23,1.6667E-08,-3.3000000038E-11
131,24346,25426,80,1.67E-08,0.052632,23,,#VALUE!
132,24346,25426,80,1.67E-08,0.15789,23,1.6667E-08,-3.2995404955E-11
133,24346,25426,80,1.67E-08,0.26316,23,1.6667E-08,-3.2995283719E-11
134,24346,25426,80,1.67E-08,0.36842,23,1.6667E-08,-3.2995158048E-11
135,24346,25426,80,1.67E-08,0.47368,23,1.6667E-08,-3.2995027144E-11
136,24346,25426,80,1.67E-08,0.57895,23,1.6667E-08,-3.2994891529E-11
137,24346,25426,80,1.67E-08,0.68421,23,1.6667E-08,-3.2994753354E-11
138,24346,25426,80,1.67E-08,0.78947,23,1.6667E-08,-3.2994608151E-11
139,24346,25426,80,1.67E-08,0.89474,23,1.6667E-08,-3.2994458674E-11
140,24346,25426,80,1.67E-08,1,23,1.6667E-08,-3.2994305520E-11
141,24346,25426,80,1.78E-08,-1,23,1.7778E-08,-2.2000000731E-11
142,24346,25426,80,1.78E-08,-0.89474,23,1.7778E-08,-2.2000000721E-11
143,24346,25426,80,1.78E-08,-0.78947,23,1.7778E-08,-2.1999999530E-11
144,24346,25426,80,1.78E-08,-0.68421,23,,#VALUE!
145,24346,25426,80,1.78E-08,-0.57895,23,1.7778E-08,-2.1999999580E-11
146,24346,25426,80,1.78E-08,-0.47368,23,1.7778E-08,-2.1999999277E-11
147,24346,25426,80,1.78E-08,-0.36842,23,1.7778E-08,-2.2000000366E-11
148,24346,25426,80,1.78E-08,-0.26316,23,1.7778E-08,-2.1999998646E-11
149,24346,25426,80,1.78E-08,-0.15789,23,1.7778E-08,-2.1999999918E-11
150,24346,25426,80,1.78E-08,-0.052632,23,1.7778E-08,-2.2000000035E-11
151,24346,25426,80,1.78E-08,0.052632,23,1.7778E-08,-2.1995524797E-11
152,24346,25426,80,1.78E-08,0.15789,23,1.7778E-08,-2.1995410237E-11
153,24346,25426,80,1.78E-08,0.26316,23,1.7778E-08,-2.1995292217E-11
154,24346,25426,80,1.78E-08,0.36842,23,1.7778E-08,-2.1995169247E-11
155,24346,25426,80,1.78E-08,0.47368,23,1.7778E-08,-2.1995042679E-11
